Wilaya,Product,Production(qx),SizeofLandUsed(ha),Season,Price(da/qx),Consumption
ADRAR,Cereals,18583,18583,Winter,1167,642916
ADRAR,Cereals,18583,18583,Fall,1383,678693
ADRAR,Cereals,1343,1343,Summer,5215,219081
ADRAR,Cereals,1343,1343,Spring,5323,664631
ADRAR,Legumes,138,138,Winter,2076,643400
ADRAR,Legumes,138,138,Fall,3489,87037
ADRAR,Legumes,138,138,Summer,4873,837403
ADRAR,Legumes,138,138,Spring,4694,924859
ADRAR,Forage,3971,3971,Winter,4472,877677
ADRAR,Forage,3971,3971,Fall,5947,346013
ADRAR,Forage,3971,3971,Summer,4909,742100
ADRAR,Forage,3971,3971,Spring,5765,751363
CHLEF,Cereals,92492,92492,Winter,2518,150720
CHLEF,Cereals,92492,92492,Fall,4288,485960
CHLEF,Cereals,0,0,Summer,3323,100392
CHLEF,Cereals,0,0,Spring,4934,34460
CHLEF,Legumes,9422,9422,Winter,5221,872849
CHLEF,Legumes,9422,9422,Fall,2281,29335
CHLEF,Legumes,9422,9422,Summer,5696,413504
CHLEF,Legumes,9422,9422,Spring,5509,633624
CHLEF,Forage,22502,22502,Winter,5313,322782
CHLEF,Forage,22502,22502,Fall,5483,431415
CHLEF,Forage,22502,22502,Summer,2431,657809
CHLEF,Forage,22502,22502,Spring,4556,681736
LAGHOUAT,Cereals,32577,32577,Winter,1411,628552
LAGHOUAT,Cereals,32577,32577,Fall,3271,474054
LAGHOUAT,Cereals,0,0,Summer,1659,654878
LAGHOUAT,Cereals,0,0,Spring,1498,748169
LAGHOUAT,Legumes,11410,11410,Winter,2707,917493
LAGHOUAT,Legumes,11410,11410,Fall,5528,751456
LAGHOUAT,Legumes,11410,11410,Summer,4775,618852
LAGHOUAT,Legumes,11410,11410,Spring,2369,918077
LAGHOUAT,Forage,11410,11410,Winter,3509,814694
LAGHOUAT,Forage,11410,11410,Fall,4135,509009
LAGHOUAT,Forage,11410,11410,Summer,4759,696756
LAGHOUAT,Forage,11410,11410,Spring,5014,452374
OumElBouaghi,Cereals,214770,214770,Winter,1394,847606
OumElBouaghi,Cereals,214770,214770,Fall,2885,353638
OumElBouaghi,Cereals,38,38,Summer,1793,915301
OumElBouaghi,Cereals,38,38,Spring,2688,66128
OumElBouaghi,Legumes,832,832,Winter,1768,633842
OumElBouaghi,Legumes,832,832,Fall,2120,165861
OumElBouaghi,Legumes,832,832,Summer,5938,110348
